word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),sim2W100S,sim10W100S,sim2W1000S,sim10W1000S
eye,tear,N,3.55,4.9,4.56,3,0.88,1,1.48,0.40096384,0.52351755,0.3841308,0.46570367
god,devil,N,1.8,2.07,3.41,2,0.87,1,1.1,0.55574304,0.6772323,0.5714627,0.6781635
loop,belt,N,3.1,4.26,4.9,3,0.87,1,1.74,0.64845437,0.58397585,0.6160228,0.5364189
rat,mouse,N,7.78,4.85,4.83,4,0.87,1,0.93,0.5132631,0.3065155,0.42693463,0.35382757
motor,engine,N,8.65,4.84,4.86,4,0.87,1,1.47,0.5587419,0.6315015,0.5398694,0.5572462
car,cab,N,7.42,4.89,4.88,4,0.87,1,1.15,0.5387484,0.60484564,0.57344353,0.6484824
cat,lion,N,6.75,4.86,4.96,4,0.85,1,0.84,0.71766865,0.65688175,0.6707231,0.6195627
size,magnitude,N,6.33,3.13,2.43,2,0.84,1,0.59,0.5986177,0.6424906,0.60421747,0.5935273
reality,fantasy,N,1.03,1.72,1.59,1,0.83,1,0.89,0.4254483,0.37867048,0.4096681,0.36743125
door,gate,N,5.25,4.81,4.96,4,0.83,1,1.47,0.7779484,0.7679382,0.75847065,0.7413714
cat,pet,N,5.95,4.86,4.71,4,0.82,1,1.41,0.54070145,0.57520944,0.57967985,0.5681166
tin,aluminum,N,6.42,4.87,4.88,4,0.82,1,1.3,0.76108646,0.72815084,0.75367856,0.6821864
bone,jaw,N,4.17,4.9,4.87,4,0.82,1,0.44,0.6779803,0.7243209,0.6443387,0.6896763
cereal,wheat,N,3.75,4.83,4.89,4,0.81,1,1.72,0.8319066,0.8451218,0.81696254,0.8523551
house,key,N,1.9,5,4.89,4,0.8,1,1.09,0.14474148,-0.14845224,0.13701177,-0.15137038
blood,flesh,N,4.28,4.86,4.59,3,0.79,1,1.74,0.66241723,0.6778002,0.6297723,0.67866486
door,corridor,N,3.73,4.81,4.72,4,0.79,1,1.11,0.51341665,0.35263908,0.5370949,0.39845544
god,spirit,N,7.3,2.07,1.6,1,0.77,1,1.63,0.71736944,0.6836401,0.698928,0.6665313
capability,competence,N,7.62,1.93,1.78,1,0.77,1,0.84,0.46533147,0.2705026,0.5211705,0.3133882
abundance,plenty,N,8.97,2.21,2.39,1,0.77,1,1.02,0.46575943,0.2892097,0.47081977,0.29566666
sofa,chair,N,6.67,4.9,4.58,4,0.77,1,1.56,0.40422112,0.007098282,0.36010617,0.035409704
wall,brick,N,4.68,4.86,4.83,4,0.77,1,1.16,0.7002948,0.67629766,0.65723574,0.6460539
horn,drum,N,2.68,5,4.96,4,0.77,1,0.47,0.6591507,0.8068122,0.63660574,0.78958565
organ,liver,N,6.15,4.77,4.68,3,0.76,1,1.12,0.3624692,0.35635874,0.3491575,0.35527566
strength,might,N,7.07,2.96,2.32,2,0.74,1,0.8,0.19810455,0.16418055,0.16423959,0.13265319
phrase,word,N,5.48,2.86,3.56,2,0.74,1,1.73,0.8045634,0.8259016,0.784875,0.7856404
band,parade,N,3.92,4.68,4.54,3,0.74,1,1.74,0.30589727,0.24204417,0.27601707,0.21380816
stomach,waist,N,5.9,4.89,4.72,4,0.74,1,1.49,0.5246748,0.44324887,0.4734937,0.40278587
cloud,storm,N,5.6,4.54,4.7,3,0.73,1,1.47,0.5854669,0.47538307,0.5533133,0.45398164
joy,pride,N,5,2.37,1.66,1,0.72,1,0.9,0.63761467,0.5483224,0.6305519,0.55977595
noise,rattle,N,6.17,3.52,4.07,3,0.72,1,1.33,0.24409895,0.27751327,0.24099828,0.24900825
rain,mist,N,5.97,4.97,4.51,4,0.71,1,1.83,0.64441925,0.6501562,0.61496073,0.6083573
beer,beverage,N,5.42,4.88,4.6,4,0.71,1,1.34,0.7236084,0.834707,0.71172833,0.8215199
man,uncle,N,3.92,4.79,4.24,3,0.7,1,1.36,0.36729985,0.3582064,0.34891683,0.36974096
apple,juice,N,2.88,5,4.89,4,0.7,1,1.65,0.54594195,0.56303704,0.5403734,0.52426326
intelligence,logic,N,6.5,2.24,1.72,1,0.68,1,1.2,0.4757256,0.3374761,0.45401525,0.3362454
communication,language,N,7.47,2.9,2.35,2,0.68,1,1.09,0.36791927,0.37549326,0.34422043,0.32259306
mink,fur,N,6.83,4.58,4.69,3,0.68,1,0.39,0,0,0,0
mob,crowd,N,7.85,3.88,4.52,3,0.67,1,1.2,0.60227096,0.65813863,0.6045664,0.6195288
shore,coast,N,8.83,4.79,4.21,3,0.67,1,1.53,0.848348,0.85584724,0.84239304,0.8193251
wire,cord,N,7.62,4.72,4.63,3,0.67,1,1.35,0.69898385,0.57258075,0.6412517,0.58485806
bird,turkey,N,6.58,5,4.89,4,0.67,1,1.6,0.4846161,0.48510554,0.41248173,0.5184621
bed,crib,N,7.3,5,4.86,4,0.65,1,1.56,0.39345285,0.38737234,0.3932403,0.3772199
competence,ability,N,7.5,1.78,1.81,1,0.63,1,0.6,0.5252946,0.41725585,0.5459462,0.4150118
cloud,haze,N,7.32,4.54,4.04,3,0.63,1,1.68,0.60188305,0.52540886,0.5570338,0.57854104
supper,meal,N,7.53,4.63,4.62,3,0.63,1,0.47,0.53026843,0.639904,0.5243037,0.64228773
bar,cage,N,2.8,4.67,5,4,0.63,1,0.51,0.5033118,0.42693815,0.51669896,0.44285712
water,salt,N,1.3,5,4.89,4,0.63,1,0.94,0.71696126,0.7502775,0.6714163,0.7279349
sense,intuition,N,7.68,2.61,1.67,1,0.62,1,1.24,0.54245496,0.48652118,0.5229312,0.458014
situation,condition,N,6.58,2.03,2.15,1,0.61,1,1.41,0.70397455,0.6057066,0.68178016,0.5986219
crime,theft,N,7.53,3.03,2.93,2,0.61,1,1.32,0.48052108,0.58420205,0.5269668,0.5463965
style,fashion,N,8.5,2.67,3.43,2,0.61,1,0.87,0.6794536,0.69602466,0.6314141,0.67068046
boundary,border,N,9.08,3.04,4.29,2,0.61,1,0.44,0.7600334,0.71286786,0.74554735,0.69805837
arm,body,N,4.05,4.96,4.79,4,0.61,1,0.51,0.57543075,0.56267947,0.5616309,0.55518293
boat,car,N,2.37,4.93,4.89,4,0.61,1,1.17,0.7827064,0.6287041,0.7287222,0.6312907
sandwich,lunch,N,6.3,4.9,4.31,3,0.58,1,1.53,0.3984482,0.33435032,0.27831805,0.22710027
bride,princess,N,2.8,4.63,4.72,3,0.58,1,0.92,0.60624295,0.5769572,0.5550549,0.65373874
heroine,hero,N,8.78,4.21,3.07,2,0.56,1,1.79,0.6807623,0.68262684,0.65851617,0.6986829
car,gauge,N,1.13,4.89,4,3,0.56,1,1.47,0.19518538,0.18981332,0.21824041,0.17086154
insect,bee,N,6.07,4.89,4.88,4,0.55,1,1.34,0.57951885,0.5912789,0.55262196,0.6427991
crib,cradle,N,8.55,4.86,4.93,4,0.55,1,1.15,0.65884054,0.433296,0.6413247,0.325052
animal,person,N,3.05,4.61,4.72,3,0.54,1,1.38,0.5201594,0.40775615,0.5002952,0.37547502
marijuana,herb,N,6.5,4.89,4.57,3,0.54,1,0.59,0.5229021,0.4506134,0.52256036,0.39824557
bed,hospital,N,0.92,5,4.64,4,0.54,1,1.35,0.51510614,0.4663921,0.53590626,0.45304924
cheek,tongue,N,4.52,4.83,4.93,4,0.54,1,0.47,0.45253277,0.6110133,0.4188666,0.62954205
disc,computer,N,3.2,4.85,4.93,4,0.54,1,0.44,0.38065925,0.40376696,0.37286267,0.36445835
curve,angle,N,3.33,4.41,3.5,3,0.53,1,1.51,0.73673934,0.7704567,0.7390262,0.7951175
grass,moss,N,5,4.93,4.9,4,0.53,1,1.27,0.57178855,0.55565846,0.5619921,0.5523251
school,law,N,1.13,4.79,2.57,2,0.52,1,1.49,0.29450214,0.27679962,0.24009524,0.25959885
foot,head,N,2.3,4.9,4.75,4,0.52,1,0.62,0.4860922,0.5042932,0.50040275,0.4917273
mother,guardian,N,6.5,4.6,3.28,3,0.51,1,1.13,0.6073843,0.5575054,0.57284176,0.49174154
orthodontist,dentist,N,8.27,4.43,4.93,3,0.51,1,1.47,0,0,0,0
alcohol,whiskey,N,7.27,4.76,4.74,4,0.51,1,1.19,0.4769601,0.47111958,0.49381682,0.49585345
mouth,tooth,N,6.3,4.74,4.89,4,0.51,1,1.39,0.46139854,0.5840048,0.4311493,0.564797
breakfast,bacon,N,4.37,4.43,4.9,3,0.5,1,1.46,0.57669085,0.6650469,0.54014933,0.61120415
bathroom,bedroom,N,3.4,4.52,4.9,3,0.5,1,1.73,0.6902261,0.60757864,0.62691003,0.57820845
plate,bowl,N,5.23,4.77,4.87,4,0.5,1,1.46,0.6069469,0.6658935,0.6128965,0.6598334
meat,bacon,N,5.8,4.9,4.9,4,0.5,1,1.5,0.6634184,0.74717,0.5837599,0.6998855
air,helium,N,3.63,4.11,3.96,3,0.49,1,1.59,0.4117018,0.4749335,0.38191202,0.4508765
worker,employer,N,5.37,4.59,3.81,3,0.49,1,1.4,0.48907122,0.60689914,0.52336085,0.60635287
body,chest,N,4.45,4.79,4.93,4,0.49,1,1.45,0.6118962,0.5743055,0.5172369,0.57449716
son,father,N,3.82,4.14,4.52,3,0.48,1,1.75,0.74277943,0.78337055,0.72969127,0.74993914
heart,surgery,N,1.08,4.52,4.34,3,0.48,1,1.07,0.5107943,0.6371152,0.46428737,0.6155328
woman,secretary,N,1.98,4.46,4.54,3,0.48,1,1.6,0.3156349,0.24163626,0.31728053,0.25344315
man,father,N,4.83,4.79,4.52,3,0.48,1,1.62,0.5617851,0.5025952,0.48540986,0.4706692
beach,island,N,5.6,4.79,4.96,4,0.48,1,0.39,0.5988283,0.58199,0.5364052,0.5458489
story,topic,N,5,3.3,2.59,2,0.47,1,1.7,0.45540518,0.34186193,0.40854904,0.34474477
game,fun,N,3.42,4.5,1.97,2,0.47,1,2.07,0.25570637,0.28126165,0.29459944,0.20129535
weekend,week,N,4,3.83,3.48,2,0.47,1,1.57,0.74954516,0.7276473,0.7232173,0.72854936
couple,pair,N,8.33,3.93,3.88,3,0.47,1,1.5,0.5495219,0.49889314,0.5591995,0.49957243
woman,wife,N,5.72,4.46,4.13,3,0.47,1,1.35,0.6034494,0.6026471,0.60298115,0.6027755
sheep,cattle,N,4.77,4.9,4.64,4,0.47,1,0.47,0.86802524,0.91538876,0.833977,0.91301227
purse,bag,N,8.33,4.9,4.9,4,0.47,1,1.39,0.36883336,0.39317802,0.48370475,0.3434658
ceiling,cathedral,N,2.42,4.85,4.86,4,0.46,1,1.57,0.3596017,0.3460909,0.28309706,0.2948838
bean,coffee,N,5.15,5,4.81,4,0.46,1,1.52,0.63835436,0.7220518,0.6798248,0.7563312
wood,paper,N,2.88,4.85,4.93,4,0.44,0,1.55,0.43289343,0.34015414,0.3923617,0.32209504
top,side,N,1.9,3.93,3.68,3,0.43,0,1.29,0.44281176,0.44164905,0.39752042,0.40160772
crime,fraud,N,5.65,3.03,1.68,1,0.42,0,1.18,0.68286943,0.7518541,0.6758612,0.713489
pain,harm,N,5.38,3.5,2.62,2,0.42,0,0.95,0.71549666,0.7122867,0.71932507,0.6730183
lover,companion,N,5.97,3.68,3.75,3,0.42,0,0.8,0.7568296,0.77820873,0.77287275,0.7292221
evening,dusk,N,7.78,3.26,4.24,3,0.42,0,1.32,0.41712746,0.41256425,0.37728438,0.4146465
father,daughter,N,2.62,4.52,4.79,3,0.42,0,1.69,0.69863063,0.72373635,0.67486465,0.68962574
wine,liquor,N,7.85,4.79,4.73,4,0.42,0,0.78,0.6852058,0.63382274,0.6833052,0.6472314
cow,goat,N,2.93,4.96,5,4,0.42,0,0.59,0.7609981,0.78505135,0.80251396,0.7619479
belief,opinion,N,7.7,1.19,1.93,1,0.41,0,1.24,0.6944012,0.6139131,0.6600422,0.5720452
reality,illusion,N,1.42,1.72,2.48,1,0.41,0,1.36,0.45427313,0.58669317,0.46703935,0.44067386
pact,agreement,N,9.02,2.52,2.22,1,0.41,0,1.2,0.7723635,0.771585,0.7473988,0.7489508
wealth,poverty,N,1.27,2.63,2.54,1,0.41,0,1.47,0.5109674,0.55542856,0.5261535,0.55909
accident,emergency,N,4.93,3.26,2.41,2,0.41,0,0.49,0.44328964,0.4851214,0.4426151,0.4992501
battle,conquest,N,7.22,4,2.54,2,0.41,0,0.89,0.45194596,0.5445158,0.44492784,0.48623
friend,teacher,N,2.62,3.07,4.52,3,0.41,0,1.29,0.668401,0.6690798,0.65985644,0.6366204
illness,infection,N,6.9,3.54,4.1,3,0.41,0,1.28,0.74587965,0.74768597,0.74134356,0.6999362
game,trick,N,2.32,4.5,3.36,3,0.41,0,1.02,0.5155622,0.5824174,0.5386122,0.5123305
brother,son,N,3.48,4.43,4.14,3,0.41,0,1.61,0.859557,0.8600739,0.8440568,0.84605634
aunt,nephew,N,3.1,4.17,4.48,3,0.41,0,1.31,0.8353286,0.76599294,0.86123127,0.8005433
worker,mechanic,N,4.92,4.59,4.38,3,0.41,0,1.2,0.46041667,0.29266062,0.47270223,0.38907513
doctor,orthodontist,N,5.58,4.69,4.43,3,0.41,0,1.25,0,0,0,0
oak,maple,N,6.03,4.82,4.46,3,0.41,0,0.39,0.7593553,0.7780627,0.73059326,0.70103914
bee,queen,N,3.27,4.88,4.45,3,0.41,0,1.2,0.27280015,0.3011597,0.2430614,0.30487022
car,bicycle,N,3.47,4.89,4.89,4,0.41,0,1.68,0.638157,0.6226426,0.65878695,0.6425259
goal,quest,N,5.83,3.06,2.87,2,0.4,0,1.31,0.42998514,0.35725066,0.4278437,0.39728677
august,month,N,5.53,3.04,4.2,2,0.4,0,1.54,0.42995122,0.18654549,0.34557393,0.3418753
army,squad,N,5.08,4.7,3.65,3,0.4,0,1.61,0.5009413,0.38582855,0.47064117,0.3906654
cloud,weather,N,4.87,4.54,3.83,3,0.4,0,0.94,0.42087665,0.37194514,0.4303276,0.3717114
physician,doctor,N,8.88,4.65,4.69,3,0.4,0,1.5,0.72632027,0.70077246,0.69422376,0.6380074
canyon,valley,N,6.75,4.81,4.72,4,0.4,0,1.39,0.61696035,0.6003214,0.6552,0.60040367
river,valley,N,1.67,4.89,4.72,4,0.4,0,1.23,0.8253486,0.8825839,0.8129108,0.86857873
sun,sky,N,2.27,4.83,4.45,3,0.39,0,1.67,0.7448216,0.8605251,0.73321587,0.83020514
target,arrow,N,3.25,4.11,4.97,3,0.38,0,1.74,0.37788418,0.36147436,0.34295455,0.3265273
chocolate,pie,N,2.27,4.72,4.92,4,0.38,0,1.79,0.5838972,0.58421326,0.62235045,0.6177127
circumstance,situation,N,7.85,1.77,2.03,1,0.36,0,1.31,0.502475,0.429038,0.47774434,0.29310542
opinion,choice,N,5.43,1.93,1.9,1,0.36,0,1.5,0.45426288,0.42504874,0.42887864,0.43624705
rhythm,melody,N,6.12,3.07,3.71,2,0.36,0,1.27,0.8303397,0.9082909,0.78821844,0.8864574
gut,nerve,N,4.93,4.15,3.89,3,0.36,0,1.65,0.7333423,0.6228545,0.6665433,0.69915825
day,dawn,N,5.47,3.92,4.46,3,0.36,0,1.45,0.421294,0.3346345,0.39444205,0.32684568
cattle,beef,N,7.03,4.64,4.74,3,0.36,0,1.53,0.7986553,0.85822934,0.8110226,0.83152336
doctor,professor,N,4.65,4.69,4.86,4,0.36,0,1.19,0.5153754,0.44779617,0.50046235,0.38840005
arm,vein,N,3.65,4.96,4.63,4,0.36,0,1.62,0.23406401,0.19626841,0.20353162,0.10586105
room,bath,N,3.33,4.79,4.85,4,0.36,0,0.49,0.53891355,0.5531855,0.48868832,0.5348355
corporation,business,N,9.02,2.79,3.28,2,0.35,0,1.44,0.59670925,0.6820498,0.5738871,0.6570619
fun,football,N,1.97,1.97,4.73,2,0.35,0,1.43,0.09763219,0.17706029,0.13992386,0.13553952
hill,cliff,N,4.28,4.93,4.71,4,0.35,0,1.26,0.8288409,0.81724143,0.8356809,0.78286654
bone,ankle,N,3.82,4.9,4.81,4,0.35,0,0.69,0.5219291,0.510736,0.48873004,0.48614293
apple,candy,N,2.08,5,4.83,4,0.35,0,0.75,0.50657785,0.5406566,0.5410841,0.48117298
helper,maid,N,5.58,3.39,4.64,3,0.34,0,0.44,0.6781735,0.5202963,0.64289105,0.49045792
leader,manager,N,7.27,3.89,4.14,3,0.34,0,1.43,0.54920393,0.48821035,0.54238737,0.49071556
lemon,tea,N,1.6,5,4.69,4,0.34,0,1.33,0.7221165,0.8159678,0.7116782,0.7823827
bee,ant,N,2.78,4.88,4.86,4,0.34,0,1.04,0.68236643,0.741179,0.67714363,0.7135569
basketball,baseball,N,4.92,4.97,4.86,4,0.34,0,0.93,0.8096249,0.75791985,0.8144705,0.75386417
rice,bean,N,2.72,4.86,5,4,0.34,0,1.27,0.71942455,0.7584683,0.7551864,0.78518003
bed,furniture,N,6.08,5,4.89,4,0.34,0,0.84,0.4122074,0.31742913,0.4574133,0.39194402
emotion,passion,N,7.72,2.44,2.3,1,0.33,0,1.3,0.5863468,0.55576885,0.56141144,0.52468735
anarchy,chaos,N,7.93,2.12,2.79,1,0.33,0,1.35,0.657372,0.5605533,0.65050155,0.58881694
crime,violation,N,7.12,3.03,2.67,2,0.33,0,0.87,0.40040657,0.50165117,0.38154233,0.4798741
machine,engine,N,5.58,4.25,4.86,3,0.33,0,1.95,0.61610824,0.6870976,0.55558467,0.65406436
beach,sea,N,4.68,4.79,4.79,4,0.33,0,1.08,0.53258497,0.5729277,0.56238365,0.5012256
alley,bowl,N,1.53,4.82,4.87,4,0.33,0,0.51,0.5905082,0.47976646,0.5483054,0.44323626
jar,bottle,N,7.83,5,4.91,4,0.33,0,1.44,0.73250186,0.70582753,0.77093333,0.689766
strength,capability,N,5.28,2.96,1.93,1,0.32,0,1.33,0.61508125,0.57683045,0.5817247,0.56549424
seed,mustard,N,3.48,4.71,4.93,4,0.32,0,0.59,0.51132065,0.6590075,0.5057809,0.6619585
guitar,drum,N,3.78,4.9,4.96,4,0.32,0,1.72,0.73919296,0.8518935,0.72860205,0.81766856
opinion,idea,N,5.7,1.93,1.61,1,0.31,0,1.29,0.63374054,0.44542417,0.5635683,0.4743854
north,west,N,3.63,4.14,3.44,3,0.31,0,1.6,0.9648899,0.95978,0.95674545,0.939968
diet,salad,N,2.98,3.21,4.97,3,0.31,0,1.6,0.3181294,0.52161974,0.36547554,0.4734682
mother,wife,N,3.02,4.6,4.13,3,0.31,0,1.62,0.814341,0.83908397,0.7918627,0.8152662
dad,mother,N,3.55,4.29,4.6,3,0.31,0,1.44,0.61445,0.27166533,0.60656834,0.3103188
captain,sailor,N,5,4.19,4.86,3,0.31,0,1.43,0.5575642,0.588851,0.532858,0.60072315
meter,yard,N,5.6,4.7,4.82,4,0.31,0,1.32,0.6464639,0.5267015,0.62393653,0.45389602
beer,champagne,N,4.45,4.88,4.82,4,0.31,0,1.2,0.23592307,0.3379944,0.3566256,0.39488328
motor,boat,N,2.57,4.84,4.93,4,0.31,0,1.45,0.50542253,0.39705434,0.50366974,0.38108185
card,bridge,N,1.97,4.9,4.97,4,0.31,0,1.69,0.42539176,0.29764935,0.41897455,0.29073268
science,psychology,N,4.92,2.79,2.31,1,0.3,0,1.91,0.748028,0.8103154,0.744333,0.7650277
sinner,saint,N,1.6,3.07,3.45,2,0.3,0,1.39,0.4928659,0.56951886,0.5718105,0.55960506
destruction,construction,N,0.98,3.21,3.72,2,0.3,0,1.69,0.46246025,0.27562416,0.42001182,0.26891264
crowd,bunch,N,7.42,4.52,3.5,3,0.3,0,1.37,0.47081754,0.30920756,0.37748146,0.3010084
beach,reef,N,3.77,4.79,4.7,4,0.3,0,1.85,0.6503512,0.64939326,0.6295861,0.7517423
man,child,N,4.13,4.79,4.78,4,0.3,0,1.34,0.7220818,0.6191439,0.6417145,0.60270953
bread,cheese,N,1.95,4.92,4.7,4,0.3,0,1.52,0.76301134,0.7701108,0.7626588,0.7406248
champion,winner,N,8.73,3.82,3.21,2,0.29,0,1.15,0.67822295,0.7816145,0.6742496,0.7837587
celebration,ceremony,N,7.72,3.47,3.57,2,0.29,0,0.61,0.7307133,0.7200019,0.6947411,0.69912654
menu,order,N,3.62,4.67,2.79,3,0.29,0,1.42,0.23707816,0.14461014,0.20657295,0.10520999
king,princess,N,3.27,4.1,4.72,3,0.29,0,1.7,0.6508177,0.71854395,0.638282,0.67166775
wealth,prestige,N,6.07,2.63,1.61,1,0.28,0,1.55,0.72915006,0.7241625,0.70502615,0.6992396
endurance,strength,N,6.58,2,2.96,1,0.28,0,0.59,0.5884933,0.5953573,0.6202785,0.577101
danger,threat,N,8.78,2.68,2.52,2,0.28,0,1.56,0.7675376,0.72959614,0.7495543,0.70579135
god,priest,N,4.5,2.07,4.77,2,0.28,0,1.2,0.60625386,0.5578924,0.5980585,0.55886066
men,fraternity,N,3.13,4.75,2.46,2,0.28,0,1.11,0.105680235,0.061295975,0.07000469,0.0142211765
buddy,companion,N,8.65,3.48,3.75,2,0.28,0,1.64,0.4738974,0.53921217,0.4486117,0.45572212
teacher,helper,N,4.28,4.52,3.39,3,0.28,0,1.65,0.16805038,0.12911195,0.18904161,0.13951062
body,stomach,N,3.93,4.79,4.89,4,0.28,0,1.15,0.49286774,0.49275255,0.43399116,0.49745724
tongue,throat,N,3.1,4.93,4.97,4,0.28,0,1.31,0.58021843,0.55228084,0.5273019,0.5564085
house,carpet,N,1.38,5,4.96,4,0.28,0,1.44,0.2824077,0.21912996,0.2192887,0.27719253
intelligence,skill,N,5.35,2.24,2.17,1,0.27,0,1.29,0.53871095,0.35699257,0.5167471,0.35792768
journey,conquest,N,4.72,2.57,2.54,1,0.27,0,1.12,0.5994475,0.5330499,0.590188,0.49227923
god,prey,N,1.23,2.07,3.61,2,0.27,0,1.73,0.31846055,0.30840117,0.29548115,0.24147658
brother,soul,N,0.97,4.43,1.86,2,0.27,0,1.18,0.41658756,0.25188607,0.36113447,0.23310031
adversary,opponent,N,9.05,2.93,3.52,2,0.27,0,1.4,0.4979327,0.54851943,0.488444,0.5301854
death,catastrophe,N,4.13,3.73,2.96,2,0.27,0,1.46,0.40433243,0.3257216,0.3614575,0.27833304
monster,demon,N,6.95,3.72,3.32,2,0.27,0,1.5,0.63369423,0.64481634,0.60059446,0.6579565
day,morning,N,4.87,3.92,3.44,2,0.27,0,1.95,0.6721061,0.6554947,0.6333768,0.63040423
man,victor,N,1.9,4.79,2.88,3,0.27,0,1.67,0.3191676,0.21958846,0.29008895,0.20936553
friend,guy,N,3.88,3.07,4.68,3,0.27,0,1.49,0.3919996,0.5038948,0.39425755,0.39956763
song,story,N,3.97,4.46,3.3,3,0.27,0,1.27,0.65991175,0.51849645,0.61868125,0.4911638
ray,sunshine,N,6.83,3.57,4.21,3,0.27,0,1.55,0.39721966,0.24986371,0.45390546,0.29059982
guy,stud,N,5.83,4.68,4,3,0.27,0,1.7,0.08638504,-0.03335014,0.09015357,0.11779284
chicken,rice,N,1.43,4.8,4.86,4,0.27,0,1.47,0.78116786,0.8344878,0.7975356,0.83074605
box,elevator,N,1.32,4.9,4.79,4,0.27,0,1.28,0.39234313,0.4473236,0.37066936,0.40991238
butter,potato,N,1.22,4.9,4.85,4,0.27,0,1.19,0.82638574,0.82461256,0.8176956,0.78575146
apartment,furniture,N,1.28,4.9,4.89,4,0.27,0,1.72,0.4187179,0.3221654,0.42708656,0.38652468
lake,swamp,N,4.92,4.88,4.96,4,0.27,0,1.6,0.58637816,0.5767668,0.62151355,0.6407955
salad,vinegar,N,1.13,4.97,4.89,4,0.27,0,1.65,0.6634146,0.75100005,0.74020857,0.7712601
flower,bulb,N,4.48,5,4.93,4,0.27,0,1.27,0.58649325,0.4562152,0.56542885,0.4003304
cloud,mist,N,6.67,4.54,4.51,3,0.26,0,1.43,0.70847696,0.683337,0.64388955,0.64499867
driver,pilot,N,6.28,4.71,4.67,3,0.26,0,1.52,0.77784795,0.73280686,0.71951604,0.69924825
sugar,honey,N,5.13,4.87,4.88,4,0.26,0,1.07,0.7390196,0.7587845,0.7148301,0.7712092
body,shoulder,N,2.88,4.79,4.93,4,0.25,0,1.47,0.49499875,0.46547902,0.44386595,0.41526383
idea,image,N,3.55,1.61,3.85,2,0.24,0,1.47,0.64029324,0.51272875,0.57301927,0.45194638
father,brother,N,4.2,4.52,4.43,3,0.24,0,1.28,0.7811698,0.8382516,0.75860435,0.8056144
moon,planet,N,5.87,4.9,4.58,4,0.24,0,1.57,0.67184687,0.7209918,0.6798108,0.72026193
ball,costume,N,2.32,5,4.57,4,0.24,0,1.02,0.26290122,0.26243818,0.2571677,0.22299479
rail,fence,N,5.22,4.9,4.82,4,0.24,0,1.17,0.5378646,0.4116769,0.5355561,0.37418926
room,bed,N,2.35,4.79,5,4,0.24,0,1.31,0.65019405,0.6897086,0.62604994,0.6756781
flower,bush,N,4.25,5,4.9,4,0.24,0,1.66,0.5930798,0.53823006,0.58295727,0.52719605
bone,knee,N,4.17,4.9,5,4,0.24,0,1.64,0.55416536,0.519518,0.5547062,0.46936452
arm,knee,N,2.75,4.96,5,4,0.24,0,0.59,0.65140617,0.679174,0.614222,0.6892075
bottom,side,N,2.63,4.25,3.68,3,0.22,0,1.51,0.5546366,0.59280163,0.53572285,0.52348995
vessel,vein,N,5.15,4.66,4.63,3,0.22,0,1.55,0.32250214,0.16832672,0.34789467,0.15191735
cat,rabbit,N,2.37,4.86,4.93,4,0.22,0,1.67,0.64608103,0.74926156,0.6672021,0.69123495
meat,sandwich,N,2.35,4.9,4.9,4,0.22,0,1.69,0.43050814,0.52426344,0.43115687,0.50233346
belief,concept,N,5.08,1.19,1.41,1,0.21,0,1.44,0.5630377,0.5749455,0.5058592,0.51667225
intelligence,insight,N,5.9,2.24,1.72,1,0.21,0,1.59,0.38438946,0.34286025,0.40980792,0.33191118
attention,interest,N,7.22,2.3,1.8,1,0.21,0,1.21,0.57987714,0.61409366,0.5999767,0.5715031
attitude,confidence,N,4.35,1.97,2.17,1,0.21,0,1.22,0.43750343,0.35993752,0.4740514,0.41140318
right,justice,N,7.05,3.47,1.45,1,0.21,0,1.52,0.47846147,0.50153613,0.43899897,0.4288296
argument,agreement,N,1.45,2.85,2.22,1,0.21,0,1.36,0.43827796,0.31517872,0.45229682,0.30005825
depth,magnitude,N,6.12,3.11,2.43,2,0.21,0,1.64,0.663502,0.6848492,0.663263,0.6283473
medium,news,N,3.65,3,3.41,2,0.21,0,1.3,0.21523735,0.07263843,0.21091941,0.070911326
winner,candidate,N,2.78,3.21,3.81,2,0.21,0,1.29,0.6169432,0.59127617,0.59746295,0.5651238
birthday,date,N,5.08,3.2,3.9,2,0.21,0,1.2,0.38464877,0.4720945,0.3536552,0.4479605
fee,payment,N,7.15,3.89,3.91,3,0.21,0,1.56,0.7155458,0.80222017,0.73362225,0.8029875
bible,hymn,N,5.15,4.61,4.04,3,0.21,0,1.08,0.61269176,0.4603083,0.73301065,0.48829105
exit,doorway,N,5.5,3.93,4.75,3,0.21,0,1.73,0.34504655,0.3371778,0.34304526,0.3353989
man,sentry,N,3.25,4.79,4.04,3,0.21,0,1.22,0.10911857,0.09740017,0.14414896,0.2587823
aisle,hall,N,6.35,4.35,4.67,3,0.21,0,0.96,0.37831333,0.38659745,0.25838497,0.36257517
whiskey,gin,N,6.28,4.74,4.46,3,0.21,0,1.14,0.6883608,0.71036524,0.717961,0.6918002
blood,marrow,N,3.4,4.86,4.48,3,0.21,0,1.17,0.51940894,0.76114345,0.5540857,0.66942924
oil,mink,N,1.23,4.93,4.58,4,0.21,0,1.53,0,0,0,0
floor,deck,N,5.55,4.8,4.77,4,0.21,0,1.06,0.75674516,0.7334614,0.7525539,0.74625254
roof,floor,N,2.62,4.79,4.8,4,0.21,0,1.66,0.710847,0.8071986,0.70926327,0.7965513
